,Symbol,Name,Price,1h Δ,24h Δ,24h vol,Market cap (USD),Supply,Updated
0,<a href=https://cryptocompare.com/coins/btc/overview>BTC</a>,<a href=https://cryptocompare.com/coins/btc/overview>Bitcoin</a>,"44,510.87",<p class=green>+0.26</p>,<p class=green>+0.4</p>,"3,650,575,401.0","845,477,833,149.0","18,994,862.0",2022-03-26 23:39:04
1,<a href=https://cryptocompare.com/coins/eth/overview>ETH</a>,<a href=https://cryptocompare.com/coins/eth/overview>Ethereum</a>,"3,145.21",<p class=green>+0.28</p>,<p class=green>+1.32</p>,"2,304,886,495.0","377,817,653,599.0","120,124,778.0",2022-03-26 23:39:03
2,<a href=https://cryptocompare.com/coins/xrp/overview>XRP</a>,<a href=https://cryptocompare.com/coins/xrp/overview>XRP</a>,0.83,<p class=red>-0.08</p>,<p class=green>+0.8</p>,"390,035,303.0","83,101,403,537.0","99,989,656,524.0",2022-03-26 23:39:11
3,<a href=https://cryptocompare.com/coins/usdt/overview>USDT</a>,<a href=https://cryptocompare.com/coins/usdt/overview>Tether</a>,1.0,<p class=green>+0.0</p>,<p class=green>+0.0</p>,"298,105,985.0","81,312,735,958.0","81,312,735,958.0",2022-03-26 23:39:04
4,<a href=https://cryptocompare.com/coins/luna/overview>LUNA</a>,<a href=https://cryptocompare.com/coins/luna/overview>Terra</a>,91.59,<p class=red>-0.02</p>,<p class=green>+1.29</p>,"505,115,374.0","69,094,609,556.0","754,390,321.0",2022-03-26 23:39:11
5,<a href=https://cryptocompare.com/coins/bnb/overview>BNB</a>,<a href=https://cryptocompare.com/coins/bnb/overview>Binance Coin</a>,415.87,<p class=green>+0.3</p>,<p class=green>+1.34</p>,"415,343,578.0","68,669,725,752.0","165,123,057.0",2022-03-26 23:38:26
6,<a href=https://cryptocompare.com/coins/sol/overview>SOL</a>,<a href=https://cryptocompare.com/coins/sol/overview>Solana</a>,101.82,<p class=green>+0.39</p>,<p class=green>+3.22</p>,"537,070,498.0","52,763,198,319.0","518,200,729.0",2022-03-26 23:39:08
7,<a href=https://cryptocompare.com/coins/ada/overview>ADA</a>,<a href=https://cryptocompare.com/coins/ada/overview>Cardano</a>,1.15,<p class=green>+0.96</p>,<p class=green>+5.11</p>,"684,376,010.0","38,181,645,135.0","33,115,043,482.0",2022-03-26 23:38:57
8,<a href=https://cryptocompare.com/coins/avax/overview>AVAX</a>,<a href=https://cryptocompare.com/coins/avax/overview>Avalanche</a>,85.9,<p class=green>+0.3</p>,<p class=green>+2.76</p>,"405,948,403.0","34,420,190,373.0","400,700,702.0",2022-03-26 23:39:06
9,<a href=https://cryptocompare.com/coins/dot/overview>DOT</a>,<a href=https://cryptocompare.com/coins/dot/overview>Polkadot</a>,20.87,<p class=green>+0.14</p>,<p class=green>+1.56</p>,"231,435,327.0","24,584,181,103.0","1,177,967,470.0",2022-03-26 23:38:47
10,<a href=https://cryptocompare.com/coins/doge/overview>DOGE</a>,<a href=https://cryptocompare.com/coins/doge/overview>Dogecoin</a>,0.14,<p class=green>+0.74</p>,<p class=green>+3.82</p>,"415,161,901.0","18,177,831,300.0","133,758,876,383.0",2022-03-26 23:39:03
11,<a href=https://cryptocompare.com/coins/axs/overview>AXS</a>,<a href=https://cryptocompare.com/coins/axs/overview>Axie Infinity Shards</a>,66.72,<p class=red>-0.04</p>,<p class=red>-6.8</p>,"290,639,833.0","18,014,400,000.0","270,000,000.0",2022-03-26 23:39:04
12,<a href=https://cryptocompare.com/coins/busd/overview>BUSD</a>,<a href=https://cryptocompare.com/coins/busd/overview>BUSD</a>,1.0,<p class=green>+0.01</p>,<p class=green>+0.0</p>,"400,939,849.0","17,566,012,245.0","17,566,012,245.0",2022-03-26 23:38:28
13,<a href=https://cryptocompare.com/coins/ust/overview>UST</a>,<a href=https://cryptocompare.com/coins/ust/overview>TerraUSD</a>,1.0,<p class=green>+0.1</p>,<p class=green>+0.2</p>,"63,109,180.0","16,136,727,326.0","16,104,518,290.0",2022-03-26 23:39:10
14,<a href=https://cryptocompare.com/coins/matic/overview>MATIC</a>,<a href=https://cryptocompare.com/coins/matic/overview>Polygon</a>,1.61,<p class=green>+0.31</p>,<p class=green>+2.09</p>,"172,825,631.0","16,110,000,000.0","10,000,000,000.0",2022-03-26 23:38:45
15,<a href=https://cryptocompare.com/coins/link/overview>LINK</a>,<a href=https://cryptocompare.com/coins/link/overview>Chainlink</a>,15.85,<p class=green>+0.64</p>,<p class=green>+1.6</p>,"167,112,946.0","15,850,000,000.0","1,000,000,000.0",2022-03-26 23:39:08
16,<a href=https://cryptocompare.com/coins/ftt/overview>FTT</a>,<a href=https://cryptocompare.com/coins/ftt/overview>FTX Token</a>,49.93,<p class=green>+0.24</p>,<p class=green>+0.36</p>,"49,361,989.0","15,835,244,955.0","317,148,907.0",2022-03-26 23:38:56
17,<a href=https://cryptocompare.com/coins/shib/overview>SHIB</a>,<a href=https://cryptocompare.com/coins/shib/overview>Shiba Inu</a>,0.0,<p class=green>+0.37</p>,<p class=green>+1.24</p>,"243,999,892.0","14,401,276,132.0","589,732,847,357,226.0",2022-03-26 23:39:02
18,<a href=https://cryptocompare.com/coins/cro/overview>CRO</a>,<a href=https://cryptocompare.com/coins/cro/overview>Cronos</a>,0.46,<p class=green>+0.4</p>,<p class=green>+0.53</p>,"24,015,995.0","13,857,433,969.0","30,263,013,692.0",2022-03-26 23:39:06
19,<a href=https://cryptocompare.com/coins/ape/overview>APE</a>,<a href=https://cryptocompare.com/coins/ape/overview>ApeCoin</a>,13.79,<p class=green>+1.25</p>,<p class=green>+11.3</p>,"79,618,782.0","13,790,000,000.0","1,000,000,000.0",2022-03-26 23:39:07
20,<a href=https://cryptocompare.com/coins/klay/overview>KLAY</a>,<a href=https://cryptocompare.com/coins/klay/overview>Klaytn</a>,1.15,<p class=green>+0.6</p>,<p class=green>+1.98</p>,"23,284,071.0","12,461,028,951.0","10,829,970,524.0",2022-03-26 23:39:04
22,<a href=https://cryptocompare.com/coins/wbtc/overview>WBTC</a>,<a href=https://cryptocompare.com/coins/wbtc/overview>Wrapped Bitcoin</a>,"44,536.17",<p class=green>+0.35</p>,<p class=green>+0.54</p>,"27,483,340.0","12,213,175,644.0","274,230.0",2022-03-26 23:39:03
