,symbol,bid,change,change_percentage
0,EUR/USD,1.0981,-0.0014,-0.12%
1,GBP/USD,1.3181,-0.0001,-0.00%
2,USD/JPY,122.04,-0.28,-0.22%
3,USD/CHF,0.9305,+0.0003,+0.04%
4,AUD/USD,0.7515,+0.0003,+0.05%
5,USD/CAD,1.2475,-0.0050,-0.40%
6,NZD/USD,0.6959,-0.0004,-0.06%
7,USD/ZAR,14.5273,+0.0297,+0.20%
8,USD/TRY,14.831,+0.0127,+0.09%
9,USD/MXN,20.0248,-0.0427,-0.21%
10,USD/PLN,4.2581,-0.0693,-1.60%
11,USD/SEK,9.41,+0.0065,+0.07%
12,USD/SGD,1.3576,+0.0008,+0.06%
13,USD/DKK,6.7746,+0.0099,+0.15%
14,USD/NOK,8.6031,-0.0627,-0.72%
15,USD/ILS,3.2132,+0.0013,+0.04%
16,USD/HUF,339.16,-1.79,-0.52%
17,USD/CZK,22.32,-0.0970,-0.43%
18,USD/THB,33.58,+0.090,+0.27%
19,USD/AED,3.6726,+0.0004,+0.01%
20,USD/JOD,0.708,+0.0010,+0.14%
21,USD/KWD,0.3038,+0.0003,+0.09%
22,USD/HKD,7.8282,+0.0053,+0.07%
23,USD/SAR,3.7466,-0.0005,-0.01%
24,USD/INR,76.269,-0.055,-0.07%
25,USD/KRW,1224.35,+4.30,+0.35%
26,BRL/USD,0.2108,+0.0037,+1.80%
27,CAD/USD,0.8014,+0.0033,+0.41%
28,CHF/USD,1.0746,-0.0001,-0.01%
29,FJD/USD,0.4759,+0.0048,+1.01%
30,GHS/USD,0.1325,+0.0005,+0.38%
31,JPY/USD,0.8191,+0.001900,+0.23%
32,KYD/USD,1.1976,+0.0073,+0.61%
33,SGD/USD,0.7362,-0.0003,-0.04%
34,USD/ALL,110.69,+0.410,+0.37%
35,USD/AMD,489.3,+2.15,+0.44%
36,USD/ANG,1.7845,+0.0177,+0.99%
37,USD/ARS,110.38,+0.2650,+0.24%
38,USD/AUD,1.3305,-0.0002,-0.01%
39,USD/BBD,1.9981,+0.0210,+1.05%
40,USD/BDT,86.02,+0.330,+0.38%
41,USD/BGN,1.7808,+0.0029,+0.16%
42,USD/BHD,0.377,+0.0000,+0.01%
43,USD/BIF,2002.0,+49.00,+2.45%
44,USD/BND,1.3576,+0.0008,+0.06%
45,USD/BOB,6.79,+0.0650,+0.96%
46,USD/BRL,4.742,-0.0820,-1.70%
47,USD/BSD,0.9938,-0.0055,-0.54%
48,USD/BWP,11.3895,+0.0651,+0.57%
49,USD/BZD,1.9982,+0.0175,+0.88%
50,USD/CLP,777.18,-10.35,-1.31%
51,USD/CNY,6.3653,-0.0015,-0.02%
52,USD/COP,3790.66,+11.65,+0.31%
53,USD/CRC,653.92,+4.57,+0.70%
54,USD/CUP,0.9706,0.0000,0.00%
55,USD/DJF,177.5,+0.52,+0.30%
56,USD/DOP,54.89,+0.170,+0.31%
57,USD/DZD,141.91,-0.065,-0.05%
58,USD/EGP,18.45,+0.2200,+1.20%
59,USD/ETB,50.951,+0.4097,+0.80%
60,USD/EUR,0.9104,+0.0014,+0.15%
61,USD/FJD,2.0648,+0.0157,+0.76%
62,USD/GBP,0.7585,+0.0005,+0.07%
63,USD/GEL,3.19,-0.0075,-0.23%
64,USD/GHS,7.4,+0.2350,+3.25%
65,USD/GMD,53.9,+1.1000,+2.04%
66,USD/GNF,8819.0,+115.00,+1.30%
67,USD/GTQ,7.678,+0.0100,+0.13%
68,USD/HNL,24.2946,+0.2527,+1.04%
69,USD/HRK,6.8961,+0.0177,+0.26%
70,USD/HTG,104.0,+2.500,+2.40%
71,USD/IDR,14340.0,-3.0,-0.02%
72,USD/IQD,1458.52,+1.02,+0.07%
73,USD/IRR,42000.0,0.00,0.00%
74,USD/ISK,129.69,+0.705,+0.55%
75,USD/JMD,151.0,+2.000,+1.32%
76,USD/KES,114.7,+0.300,+0.26%
77,USD/KHR,4040.0,+10.00,+0.25%
78,USD/KMF,447.04,+0.530,+0.12%
79,USD/KZT,491.79,-0.025,-0.01%
80,USD/LAK,11610.0,+35.00,+0.30%
81,USD/LBP,1505.5,+6.30,+0.42%
82,USD/LKR,290.0,+7.500,+2.63%
83,USD/LSL,14.5313,+0.0275,+0.19%
84,USD/LYD,4.6545,+0.0224,+0.48%
85,USD/MAD,9.7015,+0.0111,+0.11%
86,USD/MDL,18.2415,-0.0385,-0.21%
87,USD/MGA,3988.0,+64.00,+1.61%
88,USD/MKD,55.82,+0.110,+0.20%
89,USD/MMK,1769.5,+8.650,+0.49%
90,USD/MOP,8.059,+0.0060,+0.07%
91,USD/MRO,36.21,+0.180,+0.50%
92,USD/MUR,44.3,+0.150,+0.34%
93,USD/MVR,15.42,+0.0400,+0.26%
94,USD/MWK,809.9,+16.000,+2.00%
95,USD/MYR,4.208,-0.0135,-0.32%
96,USD/NAD,14.54,+0.0300,+0.21%
97,USD/NGN,415.25,+0.500,+0.12%
98,USD/NIO,35.53,+0.2350,+0.66%
99,USD/NPR,121.92,-0.255,-0.21%
